rod_cbf,rod_time,data,data_num,mandante,gol_m,gol_v,visitante,neutro,semestres,peso,jogo,resultado,X,ano,campo
1,1,14/05/2017,42869,avai,0,0,vitoria,NA,0,,1,,,2017,ressacada
1,1,14/05/2017,42869,bahia,6,2,athleticopr,NA,0,,2,,,2017,arena_fonte_nova
1,1,13/05/2017,42868,corinthians,1,1,chapecoense,NA,0,,3,,,2017,neo_quimica_arena
1,1,15/05/2017,42870,coritiba,4,1,atleticogo,NA,0,,4,,,2017,couto_pereira
1,1,14/05/2017,42869,cruzeiro,1,0,saopaulo,NA,0,,5,,,2017,mineirao
1,1,13/05/2017,42868,flamengo,1,1,atleticomg,NA,0,,6,,,2017,maracana
1,1,14/05/2017,42869,fluminense,3,2,santos,NA,0,,7,,,2017,maracana
1,1,14/05/2017,42869,gremio,2,0,botafogo,NA,0,,8,,,2017,arena_do_gremio
1,1,14/05/2017,42869,palmeiras,4,0,vasco,NA,0,,9,,,2017,allianz_parque
1,1,14/05/2017,42869,pontepreta,4,0,sport,NA,0,,10,,,2017,moises_lucarelli
2,2,21/05/2017,42876,athleticopr,0,2,gremio,NA,0,,11,,,2017,arena_da_baixada
2,2,20/05/2017,42875,atleticogo,0,3,flamengo,NA,0,,12,,,2017,serra_dourada
2,2,21/05/2017,42876,atleticomg,1,2,fluminense,NA,0,,13,,,2017,independencia
2,2,21/05/2017,42876,botafogo,2,0,pontepreta,NA,0,,14,,,2017,nilton_santos
2,2,20/05/2017,42875,chapecoense,1,0,palmeiras,NA,0,,15,,,2017,arena_conda
2,2,20/05/2017,42875,santos,1,0,coritiba,NA,0,,16,,,2017,vila_belmiro
2,2,22/05/2017,42877,saopaulo,2,0,avai,NA,0,,17,,,2017,morumbi
2,2,21/05/2017,42876,sport,1,1,cruzeiro,NA,0,,18,,,2017,ilha_do_retiro
2,2,21/05/2017,42876,vasco,2,1,bahia,NA,0,,19,,,2017,sao_januario
2,2,21/05/2017,42876,vitoria,0,1,corinthians,NA,0,,20,,,2017,arena_fonte_nova
3,3,28/05/2017,42883,athleticopr,1,1,flamengo,NA,0,,21,,,2017,arena_da_baixada
3,3,28/05/2017,42883,atleticogo,0,1,corinthians,NA,0,,22,,,2017,serra_dourada
3,3,28/05/2017,42883,atleticomg,2,2,pontepreta,NA,0,,23,,,2017,independencia
3,3,28/05/2017,42883,botafogo,1,0,bahia,NA,0,,24,,,2017,nilton_santos
3,3,29/05/2017,42884,chapecoense,2,0,avai,NA,0,,25,,,2017,arena_conda
3,3,28/05/2017,42883,santos,0,1,cruzeiro,NA,0,,26,,,2017,vila_belmiro
3,3,27/05/2017,42882,saopaulo,2,0,palmeiras,NA,0,,27,,,2017,morumbi
3,3,28/05/2017,42883,sport,4,3,gremio,NA,0,,28,,,2017,ilha_do_retiro
3,3,27/05/2017,42882,vasco,3,2,fluminense,NA,0,,29,,,2017,sao_januario
3,3,27/05/2017,42882,vitoria,0,1,coritiba,NA,0,,30,,,2017,arena_fonte_nova
4,4,04/06/2017,42890,avai,1,0,sport,NA,0,,31,,,2017,ressacada
4,4,05/06/2017,42891,bahia,3,0,atleticogo,NA,0,,32,,,2017,arena_fonte_nova
4,4,03/06/2017,42889,corinthians,2,0,santos,NA,0,,33,,,2017,neo_quimica_arena
4,4,03/06/2017,42889,coritiba,1,0,athleticopr,NA,0,,34,,,2017,couto_pereira
4,4,04/06/2017,42890,cruzeiro,0,2,chapecoense,NA,0,,35,,,2017,mineirao
4,4,04/06/2017,42890,flamengo,0,0,botafogo,*,0,,36,,,2017,raulino_de_oliveira
4,4,03/06/2017,42889,fluminense,2,1,vitoria,NA,0,,37,,,2017,maracana
4,4,04/06/2017,42890,gremio,2,0,vasco,NA,0,,38,,,2017,arena_do_gremio
4,4,04/06/2017,42890,palmeiras,0,0,atleticomg,NA,0,,39,,,2017,allianz_parque
4,4,04/06/2017,42890,pontepreta,1,0,saopaulo,NA,0,,40,,,2017,moises_lucarelli
5,5,08/06/2017,42894,atleticogo,3,0,pontepreta,NA,0,,41,,,2017,olimpico_pedro_ludovico
5,5,07/06/2017,42893,atleticomg,1,0,avai,NA,0,,42,,,2017,independencia
5,5,08/06/2017,42894,bahia,1,0,cruzeiro,NA,0,,43,,,2017,arena_fonte_nova
5,5,08/06/2017,42894,chapecoense,3,6,gremio,NA,0,,44,,,2017,arena_conda
5,5,07/06/2017,42893,coritiba,1,0,palmeiras,NA,0,,45,,,2017,couto_pereira
5,5,06/06/2017,42892,fluminense,1,1,athleticopr,NA,0,,46,,,2017,maracana
5,5,07/06/2017,42893,santos,1,0,botafogo,*,0,,47,,,2017,pacaembu
5,5,08/06/2017,42894,saopaulo,2,0,vitoria,NA,0,,48,,,2017,morumbi
5,5,07/06/2017,42893,sport,2,0,flamengo,NA,0,,49,,,2017,ilha_do_retiro
5,5,07/06/2017,42893,vasco,2,5,corinthians,NA,0,,50,,,2017,sao_januario
6,6,11/06/2017,42897,athleticopr,0,2,santos,NA,0,,51,,,2017,arena_da_baixada
6,6,11/06/2017,42897,avai,1,1,flamengo,NA,0,,52,,,2017,ressacada
6,6,11/06/2017,42897,botafogo,2,2,coritiba,NA,0,,53,,,2017,nilton_santos
6,6,11/06/2017,42897,corinthians,3,2,saopaulo,NA,0,,54,,,2017,neo_quimica_arena
6,6,11/06/2017,42897,cruzeiro,2,0,atleticogo,NA,0,,55,,,2017,mineirao
6,6,12/06/2017,42898,gremio,1,0,bahia,NA,0,,56,,,2017,arena_do_gremio
6,6,10/06/2017,42896,palmeiras,3,1,fluminense,NA,0,,57,,,2017,allianz_parque
6,6,11/06/2017,42897,pontepreta,3,2,chapecoense,NA,0,,58,,,2017,moises_lucarelli
6,6,10/06/2017,42896,vasco,2,1,sport,NA,0,,59,,,2017,sao_januario
6,6,11/06/2017,42897,vitoria,2,0,atleticomg,NA,0,,60,,,2017,manoel_barradas
7,7,14/06/2017,42900,atleticogo,3,1,avai,NA,0,,61,,,2017,olimpico_pedro_ludovico
7,7,14/06/2017,42900,atleticomg,0,1,athleticopr,NA,0,,62,,,2017,independencia
7,7,14/06/2017,42900,chapecoense,2,1,vasco,NA,0,,63,,,2017,arena_conda
7,7,14/06/2017,42900,corinthians,1,0,cruzeiro,NA,0,,64,,,2017,neo_quimica_arena
7,7,15/06/2017,42901,coritiba,0,0,bahia,NA,0,,65,,,2017,couto_pereira
7,7,14/06/2017,42900,flamengo,2,0,pontepreta,*,0,,66,,,2017,luso_brasileiro
