jogo;rod;ano;man;vis;vm;em;vv;r;golman;golvis
1;1;2017;AVAÍ;VITÓRIA;40;30;30;1;;
2;1;2017;BAHIA;ATHLETICO-PR;40;30;30;1;;
3;1;2017;CORINTHIANS;CHAPECOENSE;40;30;30;1;;
4;1;2017;CORITIBA;ATLÉTICO-GO;40;30;30;1;;
5;1;2017;CRUZEIRO;SÃO PAULO;40;30;30;1;;
6;1;2017;FLAMENGO;ATLÉTICO-MG;40;30;30;1;;
7;1;2017;FLUMINENSE;SANTOS;40;30;30;1;;
8;1;2017;GRÊMIO;BOTAFOGO;40;30;30;1;;
9;1;2017;PALMEIRAS;VASCO DA GAMA;40;30;30;1;;
10;1;2017;PONTE PRETA;SPORT;40;30;30;1;;
11;2;2017;ATLÉTICO-GO;FLAMENGO;40;30;30;1;;
12;2;2017;ATLÉTICO-MG;FLUMINENSE;40;30;30;1;;
13;2;2017;ATLÉTICO-PR;GRÊMIO;40;30;30;1;;
14;2;2017;BOTAFOGO;PONTE PRETA;40;30;30;1;;
15;2;2017;CHAPECOENSE;PALMEIRAS;40;30;30;1;;
16;2;2017;SANTOS;CORITIBA;40;30;30;1;;
17;2;2017;SÃO PAULO;AVAÍ;40;30;30;1;;
18;2;2017;SPORT;CRUZEIRO;40;30;30;1;;
19;2;2017;VASCO DA GAMA;BAHIA;40;30;30;1;;
20;2;2017;VITÓRIA;CORINTHIANS;40;30;30;1;;
21;3;2017;ATLÉTICO-GO;CORINTHIANS;35.56;26.67;37.77;2;;
22;3;2017;ATLÉTICO-MG;PONTE PRETA;41.22;26.34;32.44;1;;
23;3;2017;ATLÉTICO-PR;FLAMENGO;35.56;26.67;37.77;2;;
24;3;2017;BOTAFOGO;BAHIA;46.66;26.67;26.67;1;;
25;3;2017;CHAPECOENSE;AVAÍ;46.66;26.67;26.67;1;;
26;3;2017;SANTOS;CRUZEIRO;39;35.5;25.5;1;;
27;3;2017;SÃO PAULO;PALMEIRAS;36.5;27;36.5;2;;
28;3;2017;SPORT;GRÊMIO;34;35.5;30.5;3;;
29;3;2017;VASCO DA GAMA;FLUMINENSE;36.5;27;36.5;2;;
30;3;2017;VITÓRIA;CORITIBA;41.22;26.34;32.44;1;;
31;4;2017;AVAÍ;SPORT;39.66;35.17;25.17;1;;
32;4;2017;BAHIA;ATLÉTICO-GO;46.66;26.67;26.67;1;;
33;4;2017;CORINTHIANS;SANTOS;33.95;33.85;32.2;1;;
34;4;2017;CORITIBA;ATLÉTICO-PR;38.41;34.04;27.55;1;;
35;4;2017;CRUZEIRO;CHAPECOENSE;39;35.5;25.5;1;;
36;4;2017;FLAMENGO;BOTAFOGO;28.15;34.15;37.7;2;;
37;4;2017;FLUMINENSE;VITÓRIA;36.2;33.85;29.95;1;;
38;4;2017;GRÊMIO;VASCO DA GAMA;46.66;26.67;26.67;1;;
39;4;2017;PALMEIRAS;ATLÉTICO-MG;36.2;33.85;29.95;1;;
40;4;2017;PONTE PRETA;SÃO PAULO;46.66;26.67;26.67;1;;
41;5;2017;ATLÉTICO-GO;PONTE PRETA;34.35;32.1;33.55;1;;
42;5;2017;ATLÉTICO-MG;AVAÍ;40.92;32.1;26.98;1;;
43;5;2017;BAHIA;CRUZEIRO;39.58;32.21;28.21;1;;
44;5;2017;CHAPECOENSE;GRÊMIO;47.6;24;28.39;1;;
45;5;2017;CORITIBA;PALMEIRAS;49.21;25.39;25.39;1;;
46;5;2017;FLUMINENSE;ATLÉTICO-PR;46.48;23.98;29.54;1;;
47;5;2017;SANTOS;BOTAFOGO;41.48;23.63;34.89;1;;
48;5;2017;SÃO PAULO;VITÓRIA;45.59;31.63;22.78;1;;
