jogo,rod,ano,man,vis,vm,em,vv,r,golman,golvis
1,1,2017,avai,vitoria,0.33333,0.33333,0.33333,3,0,0
2,1,2017,bahia,athleticopr,0.33333,0.33333,0.33333,3,0,0
3,1,2017,corinthians,chapecoense,0.33333,0.33333,0.33333,3,0,0
4,1,2017,coritiba,atleticogo,0.33333,0.33333,0.33333,3,0,0
5,1,2017,cruzeiro,saopaulo,0.33333,0.33333,0.33333,3,0,0
6,1,2017,flamengo,atleticomg,0.33333,0.33333,0.33333,3,0,0
7,1,2017,fluminense,santos,0.33333,0.33333,0.33333,3,0,0
8,1,2017,gremio,botafogo,0.33333,0.33333,0.33333,3,0,0
9,1,2017,palmeiras,vasco,0.33333,0.33333,0.33333,3,0,0
10,1,2017,pontepreta,sport,0.33333,0.33333,0.33333,3,0,0
11,2,2017,athleticopr,gremio,0.33333,0.33333,0.33333,3,0,0
12,2,2017,atleticogo,flamengo,0.33333,0.33333,0.33333,3,0,0
13,2,2017,atleticomg,fluminense,0.33333,0.33333,0.33333,3,0,0
14,2,2017,botafogo,pontepreta,0.33333,0.33333,0.33333,3,0,0
15,2,2017,chapecoense,palmeiras,0.33333,0.33333,0.33333,3,0,0
16,2,2017,santos,coritiba,0.33333,0.33333,0.33333,3,0,0
17,2,2017,saopaulo,avai,0.33333,0.33333,0.33333,3,0,0
18,2,2017,sport,cruzeiro,0.33333,0.33333,0.33333,3,0,0
19,2,2017,vasco,bahia,0.33333,0.33333,0.33333,3,0,0
20,2,2017,vitoria,corinthians,0.33333,0.33333,0.33333,3,0,0
21,3,2017,athleticopr,flamengo,0.33333,0.33333,0.33333,3,0,0
22,3,2017,atleticogo,corinthians,0.33333,0.33333,0.33333,3,0,0
23,3,2017,atleticomg,pontepreta,0.33333,0.33333,0.33333,3,0,0
24,3,2017,botafogo,bahia,0.33333,0.33333,0.33333,3,0,0
25,3,2017,chapecoense,avai,0.33333,0.33333,0.33333,3,0,0
26,3,2017,santos,cruzeiro,0.33333,0.33333,0.33333,3,0,0
27,3,2017,saopaulo,palmeiras,0.33333,0.33333,0.33333,3,0,0
28,3,2017,sport,gremio,0.33333,0.33333,0.33333,3,0,0
29,3,2017,vasco,fluminense,0.33333,0.33333,0.33333,3,0,0
30,3,2017,vitoria,coritiba,0.33333,0.33333,0.33333,3,0,0
31,4,2017,avai,sport,"0,00000001",0.2491723,0.7507264,2,0,1
32,4,2017,bahia,atleticogo,0.53545567,0.0049771,0.00158095,1,7,0
33,4,2017,corinthians,santos,0.49581416,0.46082711,0.04335744,1,0,0
34,4,2017,coritiba,athleticopr,0.54287082,0.18080254,0.26900752,1,2,1
35,4,2017,cruzeiro,chapecoense,0.10804142,0.45142904,0.44052853,3,0,0
36,4,2017,flamengo,botafogo,0.15833787,0.40708217,0.43457775,2,0,0
37,4,2017,fluminense,vitoria,0.83000623,0.16948061,"0,00000002",1,1,0
38,4,2017,gremio,vasco,0.41913385,0.22542234,0.35462643,1,1,1
39,4,2017,palmeiras,atleticomg,0.89574202,0.09005728,0.00929221,1,2,0
40,4,2017,pontepreta,saopaulo,0.00011489,0.00038916,0.1324391,2,0,7
41,5,2017,atleticogo,pontepreta,0.00150525,0.01361891,0.8795522,2,0,4
42,5,2017,atleticomg,avai,0.297422,0.57843101,0.12414697,3,0,0
43,5,2017,bahia,cruzeiro,0.25492542,0.42628089,0.31879323,3,0,0
44,5,2017,chapecoense,gremio,0.87798616,0.07853608,0.02656329,1,3,0
45,5,2017,coritiba,palmeiras,0.19078303,0.55769144,0.25152552,3,0,0
46,5,2017,fluminense,athleticopr,0.5697978,0.16747502,0.24927575,1,3,2
47,5,2017,santos,botafogo,"0,00000007",0.99999968,2.5e-07,3,0,0
48,5,2017,saopaulo,vitoria,0.78040217,0.16183626,0.05608334,1,2,0
49,5,2017,sport,flamengo,0.10405534,0.14238411,0.74487255,2,0,2
50,5,2017,vasco,corinthians,0.05898398,0.31974517,0.62124179,2,0,1
51,6,2017,athleticopr,santos,0.19347694,0.18805257,0.61518772,2,1,2
52,6,2017,avai,flamengo,0.07749955,0.5887594,0.33374102,3,0,0
53,6,2017,botafogo,coritiba,0.18922867,0.46688037,0.3438907,3,0,0
54,6,2017,corinthians,saopaulo,0.4206029,0.32846729,0.25091618,1,1,0
55,6,2017,cruzeiro,atleticogo,0.40221137,0.43561027,0.16217744,3,0,0
56,6,2017,gremio,bahia,0.53530694,0.19524851,0.26603832,1,2,1
57,6,2017,palmeiras,fluminense,0.43101413,0.34876383,0.22021378,1,0,0
58,6,2017,pontepreta,chapecoense,0.12432845,0.13347015,0.72298513,2,1,3
59,6,2017,vasco,sport,0.28247643,0.15466651,0.52851583,2,2,3
60,6,2017,vitoria,atleticomg,0.08340614,0.45654408,0.4600487,2,0,0
61,7,2017,atleticogo,avai,0.31993827,0.44945377,0.23060769,3,0,0
62,7,2017,atleticomg,athleticopr,0.44131709,0.30433232,0.2543185,1,1,0
63,7,2017,chapecoense,vasco,0.68695845,0.11917813,0.13992739,1,4,1
64,7,2017,corinthians,cruzeiro,0.41892923,0.39494164,0.18612664,1,0,0
65,7,2017,coritiba,bahia,0.37116884,0.26881513,0.35991241,1,1,1
66,7,2017,flamengo,pontepreta,0.13364486,0.62700015,0.23935499,3,0,0
67,7,2017,fluminense,gremio,0.05225479,0.06516116,0.75356646,2,1,4
68,7,2017,santos,palmeiras,0.26773821,0.35893728,0.37332035,2,0,0
69,7,2017,sport,saopaulo,0.1436341,0.15522449,0.69213771,2,1,2
70,7,2017,vitoria,botafogo,0.12028558,0.35226547,0.52743663,2,0,1
71,8,2017,atleticogo,athleticopr,0.47126343,0.23438143,0.29382547,1,1,1
72,8,2017,bahia,palmeiras,0.43242559,0.34104838,0.22651579,1,0,0
73,8,2017,chapecoense,botafogo,0.41245555,0.23160648,0.35534084,1,1,1
74,8,2017,coritiba,corinthians,0.2923889,0.33085242,0.37674873,2,0,0
75,8,2017,cruzeiro,gremio,0.17233996,0.33765918,0.48998553,2,0,1
76,8,2017,fluminense,flamengo,0.29103951,0.39204717,0.31691214,3,0,0
77,8,2017,santos,pontepreta,0.50061192,0.30296872,0.1963775,1,1,0
78,8,2017,saopaulo,atleticomg,0.58921489,0.29960821,0.11112648,1,1,0
79,8,2017,sport,vitoria,0.34984062,0.30849779,0.34164107,1,1,0
80,8,2017,vasco,avai,0.61448601,0.25580373,0.12952644,1,1,0
81,9,2017,athleticopr,saopaulo,0.15800412,0.28150895,0.56039936,2,0,1
82,9,2017,atleticomg,sport,0.37694333,0.28489739,0.33810634,1,1,1
83,9,2017,avai,fluminense,0.08814082,0.20163704,0.70948122,2,0,1
84,9,2017,botafogo,vasco,0.61532329,0.22090413,0.16307673,1,1,0
85,9,2017,corinthians,bahia,0.56642064,0.23592822,0.1972011,1,1,0
86,9,2017,flamengo,chapecoense,0.26812852,0.32851007,0.4033491,2,0,1
87,9,2017,gremio,coritiba,0.26981616,0.29943572,0.43071203,2,0,1
88,9,2017,palmeiras,atleticogo,0.6800412,0.19382476,0.12471211,1,2,0
89,9,2017,pontepreta,cruzeiro,0.2612547,0.31104801,0.42767306,2,0,1
90,9,2017,vitoria,santos,0.22219855,0.33290492,0.4448827,2,0,1
91,10,2017,athleticopr,vitoria,0.28154515,0.32706394,0.39137884,2,0,0
92,10,2017,bahia,flamengo,0.33227727,0.24261375,0.42475719,2,1,1
93,10,2017,botafogo,avai,0.73408694,0.22892377,0.03677722,1,1,0
94,10,2017,chapecoense,atleticomg,0.48069983,0.22089831,0.29739038,1,1,1
95,10,2017,cruzeiro,coritiba,0.18284523,0.4114684,0.40568481,3,0,0
96,10,2017,gremio,corinthians,0.26960519,0.25599682,0.47419185,2,1,1
97,10,2017,pontepreta,palmeiras,0.25307106,0.28547486,0.46138857,2,0,1
98,10,2017,santos,sport,0.63456305,0.22879203,0.13619304,1,1,0
99,10,2017,saopaulo,fluminense,0.37834217,0.24439388,0.37694687,1,1,1
100,10,2017,vasco,atleticogo,0.49235875,0.21985007,0.28673673,1,1,1
101,11,2017,atleticogo,santos,0.11898992,0.28555689,0.59537833,2,0,1
102,11,2017,atleticomg,cruzeiro,0.2286172,0.35585365,0.41552301,2,0,0
103,11,2017,avai,pontepreta,0.13821502,0.28629257,0.57541749,2,0,1
104,11,2017,corinthians,botafogo,0.60633983,0.26816116,0.1253739,1,1,0
105,11,2017,coritiba,vasco,0.52813067,0.26931541,0.20242269,1,1,0
106,11,2017,flamengo,saopaulo,0.4334326,0.33741063,0.22914537,1,1,0
107,11,2017,fluminense,chapecoense,0.48953373,0.18059271,0.32089566,1,2,2
108,11,2017,palmeiras,gremio,0.24564432,0.25144447,0.50265657,2,1,1
109,11,2017,sport,athleticopr,0.33589336,0.24154008,0.42219712,2,1,1
110,11,2017,vitoria,bahia,0.20683564,0.21710059,0.575072,2,1,1
111,12,2017,atleticogo,vitoria,0.28810641,0.28117088,0.43065318,2,0,1
112,12,2017,bahia,fluminense,0.38868051,0.21358957,0.39620194,2,1,1
113,12,2017,botafogo,atleticomg,0.39435089,0.31163092,0.29399779,1,1,0
114,12,2017,chapecoense,athleticopr,0.44613528,0.22352289,0.32944237,1,1,1
115,12,2017,corinthians,pontepreta,0.71680278,0.20205818,0.08046616,1,1,0
116,12,2017,coritiba,sport,0.47795555,0.27583972,0.24610808,1,1,0
117,12,2017,cruzeiro,palmeiras,0.23232415,0.32818826,0.43947227,2,0,1
118,12,2017,gremio,avai,0.76714058,0.1784566,0.05343961,1,1,0
119,12,2017,santos,saopaulo,0.3505115,0.39344978,0.25603734,3,0,0
