jogo,rod,ano,man,vis,vm,em,vv,r,golman,golvis
1,1,2017,avai,vitoria,0.33333,0.33333,0.33333,3,0,0
2,1,2017,bahia,athleticopr,0,1,0,3,0,0
3,1,2017,corinthians,chapecoense,0,1,0,3,0,0
4,1,2017,coritiba,atleticogo,0,1,0,3,0,0
5,1,2017,cruzeiro,saopaulo,0,1,0,3,0,0
6,1,2017,flamengo,atleticomg,0,1,0,3,0,0
7,1,2017,fluminense,santos,0,1,0,3,0,0
8,1,2017,gremio,botafogo,0,1,0,3,0,0
9,1,2017,palmeiras,vasco,0,1,0,3,0,0
10,1,2017,pontepreta,sport,0,1,0,3,0,0
11,2,2017,athleticopr,gremio,0.0479245105,0.0528187961,0.6424205171,2,1,2
12,2,2017,atleticogo,flamengo,0.0472199366,0.0761514655,0.825485257,2,0,3
13,2,2017,atleticomg,fluminense,0.2716242351,0.1435763738,0.5223699918,2,3,4
14,2,2017,botafogo,pontepreta,0,0.0024787522,0.7415010083,2,0,0
15,2,2017,chapecoense,palmeiras,0.0233409853,0.0422813697,0.8009970887,2,0,4
16,2,2017,santos,coritiba,0.4048744562,0.166583797,0.4048744562,2,2,2
17,2,2017,saopaulo,avai,0.1317131974,0.7365736052,0.1317131974,3,0,0
18,2,2017,sport,cruzeiro,0.6150446882,0.2386115959,0.1460025144,1,1,0
19,2,2017,vasco,bahia,0.0083370453,0.0118266605,0.2840295428,2,2,7
20,2,2017,vitoria,corinthians,0.0035507109,0.0051382523,0.0477501118,2,3,7
21,3,2017,athleticopr,flamengo,0.4167894556,0.1523119126,0.3752033316,1,3,3
22,3,2017,atleticogo,corinthians,0.0301117765,0.0356895489,0.5460621861,2,2,6
23,3,2017,atleticomg,pontepreta,0.3104609368,0.3394798079,0.3500524687,2,0,0
24,3,2017,botafogo,bahia,0.6202583721,0.1553053149,0.2061155899,1,3,1
25,3,2017,chapecoense,avai,0.5032961837,0.1677241087,0.3107033753,1,3,2
26,3,2017,santos,cruzeiro,0.5402735244,0.2540772612,0.2054202792,1,1,0
27,3,2017,saopaulo,palmeiras,0.1817407597,0.2512252285,0.5667874479,2,0,1
28,3,2017,sport,gremio,0.0422777383,0.1572974677,0.7989279248,2,0,2
29,3,2017,vasco,fluminense,0.3046091783,0.1937957287,0.4974669553,2,1,2
30,3,2017,vitoria,coritiba,0.7033300334,0.2525346233,0.0440063222,1,1,0
31,4,2017,avai,sport,0.5029187763,0.2173254977,0.2785764018,1,1,1
32,4,2017,bahia,atleticogo,0.8150295748,0.0275537512,0.0111030946,1,5,0
33,4,2017,corinthians,santos,0.6810324797,0.3088611095,0.0100734357,1,1,0
34,4,2017,coritiba,athleticopr,0.9386368636,0.0378181027,0.0015129963,1,3,0
35,4,2017,cruzeiro,chapecoense,0.6252931991,0.3416490972,0.033040133,1,1,0
36,4,2017,flamengo,botafogo,0.0438542594,0.9185910545,0.0375546861,3,0,0
37,4,2017,fluminense,vitoria,0.827302816,0.1127363271,0.050863499,1,2,0
38,4,2017,gremio,vasco,0.735234309,0.1275750941,0.1152822711,1,3,1
39,4,2017,palmeiras,atleticomg,0.7647466494,0.1610200224,0.0719466312,1,2,0
40,4,2017,pontepreta,saopaulo,0.5759826219,0.1791791147,0.2380728896,1,2,1
41,5,2017,atleticogo,pontepreta,0.0321932247,0.0835973819,0.8669471298,2,0,3
42,5,2017,atleticomg,avai,0.494660544,0.3391542649,0.1661701406,1,1,0
43,5,2017,bahia,cruzeiro,0.6853607242,0.1868766689,0.1258895806,1,2,0
44,5,2017,chapecoense,gremio,0.7298206449,0.1556779364,0.1092063632,1,2,0
45,5,2017,coritiba,palmeiras,0.0266747045,0.6156865242,0.3576387372,3,0,0
46,5,2017,fluminense,athleticopr,0.7273894302,0.1378006906,0.1203495272,1,3,1
47,5,2017,santos,botafogo,0.0812855219,0.3303322241,0.5883593723,2,0,1
48,5,2017,saopaulo,vitoria,0.8268487874,0.1412796991,0.0299973801,1,2,0
49,5,2017,sport,flamengo,0.3167202545,0.2129883933,0.4687606963,2,1,2
50,5,2017,vasco,corinthians,0.2474625726,0.420947408,0.3315894321,3,0,0
51,6,2017,athleticopr,santos,0.4125100973,0.2490203791,0.3382108818,1,1,1
52,6,2017,avai,flamengo,0.1108640748,0.8161005984,0.0730353268,3,0,0
53,6,2017,botafogo,coritiba,0.3770825027,0.457144435,0.1657725927,3,0,0
54,6,2017,corinthians,saopaulo,0.7187924944,0.1935594844,0.0867039759,1,1,0
55,6,2017,cruzeiro,atleticogo,0.5663168239,0.2659690402,0.1675686949,1,1,0
56,6,2017,gremio,bahia,0.676712141,0.1432098543,0.1598000208,1,3,1
57,6,2017,palmeiras,fluminense,0.698188375,0.2434063977,0.0582281018,1,1,0
58,6,2017,pontepreta,chapecoense,0.3841378509,0.2095410391,0.4044167496,2,1,1
59,6,2017,vasco,sport,0.429419821,0.1794174316,0.3804302787,1,2,2
60,6,2017,vitoria,atleticomg,0.4045003036,0.4817617466,0.1137375294,3,0,0
61,7,2017,atleticogo,avai,0.4553935485,0.3335678903,0.2110241523,1,1,0
62,7,2017,atleticomg,athleticopr,0.6905136337,0.2067581864,0.1020046218,1,1,0
63,7,2017,chapecoense,vasco,0.7343209493,0.1224519807,0.1149064225,1,3,1
64,7,2017,corinthians,cruzeiro,0.713996869,0.2427425892,0.0430992585,1,1,0
65,7,2017,coritiba,bahia,0.4997559781,0.2319500243,0.267704417,1,1,1
66,7,2017,flamengo,pontepreta,0.4881122388,0.2733583214,0.2384213574,1,1,0
67,7,2017,fluminense,gremio,0.2288220469,0.1630807519,0.5933611599,2,1,3
68,7,2017,santos,palmeiras,0.5407540424,0.3634919863,0.0957440265,1,0,0
69,7,2017,sport,saopaulo,0.3503368333,0.2139247735,0.4342494371,2,1,1
70,7,2017,vitoria,botafogo,0.12098994,0.5102211689,0.3687887182,3,0,0
71,8,2017,atleticogo,athleticopr,0.5274461703,0.2092272666,0.2616423252,1,2,1
72,8,2017,bahia,palmeiras,0.7667385285,0.225116624,0.0079686835,1,1,0
73,8,2017,chapecoense,botafogo,0.5360501775,0.2276778831,0.2355860781,1,1,1
74,8,2017,coritiba,corinthians,0.4220555387,0.2840578908,0.2938258319,1,1,0
75,8,2017,cruzeiro,gremio,0.1809545121,0.2956872484,0.5233032837,2,0,1
76,8,2017,fluminense,flamengo,0.4323198989,0.2486463232,0.3187655979,1,1,1
77,8,2017,santos,pontepreta,0.6646266258,0.2053209279,0.1290799031,1,1,0
78,8,2017,saopaulo,atleticomg,0.7559319581,0.1992149969,0.0443740416,1,1,0
79,8,2017,sport,vitoria,0.5037654615,0.2697027179,0.2264052043,1,1,0
80,8,2017,vasco,avai,0.5970270847,0.2349266333,0.1676216014,1,1,0
81,9,2017,athleticopr,saopaulo,0.3069160166,0.3069823237,0.3860783778,2,0,1
82,9,2017,atleticomg,sport,0.6088183144,0.2258987254,0.1647000883,1,1,0
83,9,2017,avai,fluminense,0.3286983968,0.2717100332,0.3994974798,2,1,1
84,9,2017,botafogo,vasco,0.8281070456,0.134731177,0.0346020875,1,2,0
85,9,2017,corinthians,bahia,0.6178993321,0.2143901383,0.1668001806,1,1,0
86,9,2017,flamengo,chapecoense,0.499269353,0.2389913549,0.2613090794,1,1,1
87,9,2017,gremio,coritiba,0.6911600696,0.1895076992,0.1177807011,1,2,0
88,9,2017,palmeiras,atleticogo,0.8475909429,0.1172851275,0.0309645081,1,2,0
89,9,2017,pontepreta,cruzeiro,0.4322251294,0.3286774438,0.2390829362,1,1,0
90,9,2017,vitoria,santos,0.3868628333,0.3424191145,0.2707107226,1,0,0
91,10,2017,athleticopr,vitoria,0.5011671133,0.298426172,0.2003585462,1,1,0
92,10,2017,bahia,flamengo,0.4931921782,0.2399422679,0.2664528267,1,1,1
93,10,2017,botafogo,avai,0.5972332409,0.2249303851,0.1771958156,1,1,0
94,10,2017,chapecoense,atleticomg,0.5404262746,0.2100858343,0.2479307038,1,2,1
95,10,2017,cruzeiro,coritiba,0.2812644802,0.5270262622,0.1917092245,3,0,0
96,10,2017,gremio,corinthians,0.5676400322,0.2058633307,0.2247538681,1,2,1
97,10,2017,pontepreta,palmeiras,0.4000686237,0.2963332342,0.3035622844,1,1,0
98,10,2017,santos,sport,0.7764924715,0.1698445051,0.0524364742,1,2,0
99,10,2017,saopaulo,fluminense,0.5143646306,0.2249768899,0.2598553839,1,1,1
100,10,2017,vasco,atleticogo,0.5135070087,0.2063619459,0.2781138328,1,2,1
101,11,2017,atleticogo,santos,0.177851009,0.3193618194,0.5027609412,2,0,1
102,11,2017,atleticomg,cruzeiro,0.3189453849,0.3884689811,0.2925843148,3,0,0
103,11,2017,avai,pontepreta,0.2711438581,0.3286141285,0.4002299608,2,0,1
104,11,2017,corinthians,botafogo,0.7792056265,0.1870964333,0.0331330132,1,1,0
105,11,2017,coritiba,vasco,0.7445078344,0.1836117613,0.0708218566,1,1,0
106,11,2017,flamengo,saopaulo,0.6603933862,0.2597002331,0.0797734832,1,1,0
107,11,2017,fluminense,chapecoense,0.5926598439,0.1762785318,0.2239017436,1,2,1
