Modelo,A,B,C,D,E,F,G,NC
ConImp,2,5,1,2,5,2,2,"2,714"
ConTeiMan,1,1,1,1,1,1,1,"1,000"
ConTeiEmp,1,1,1,1,1,1,1,"1,000"
ConTeiVis,1,1,1,1,1,1,1,"1,000"
ConMed,1,1,1,1,5,2,2,"1,857"
ConPois,2,3,1,2,1,2,1,"1,714"
ConUnif,2,2,1,2,1,2,1,"1,571"
Ch1Ano,3,4,5,4,4,4,4,"4,000"
Ch1Ger,3,4,5,4,5,4,4,"4,143"
Ch1Sem,3,4,5,4,3,4,4,"3,857"
Ch1Rod,3,4,5,4,2,4,4,"3,714"
Ch2Ano,3,5,4,4,4,4,4,"4,000"
Ch2Ger,3,5,4,4,5,4,4,"4,143"
Ch2Sem,3,5,4,4,3,4,4,"3,857"
Ch2Rod,3,5,4,4,2,4,4,"3,714"
Sd0Ano,3,4,2,4,4,3,4,"3,429"
Sd0Ger,3,4,2,4,5,3,4,"3,571"
Sd0Sem,3,4,2,4,3,3,4,"3,286"
Sd0Rod,3,4,2,4,2,3,4,"3,143"
Sd1Ano,3,5,3,4,4,4,4,"3,857"
Sd1Ger,3,5,3,4,5,4,4,"4,000"
Sd1Sem,3,5,3,4,3,4,4,"3,714"
Sd1Rod,3,5,3,4,2,4,4,"3,571"
UfmgAno,3,2,1,5,4,5,4,"3,429"
UfmgGer,3,2,1,5,5,5,4,"3,571"
UfmgSem,3,2,1,5,3,5,4,"3,286"
UfmgRod,3,2,1,5,2,5,4,"3,143"
UfmgSsAno,1,1,1,5,4,5,4,"3,000"
UfmgSsGer,1,1,1,5,5,5,4,"3,143"
UfmgSsSem,1,1,1,5,3,5,4,"2,857"
UfmgSsRod,1,1,1,5,2,5,4,"2,714"
UfmgSnAno,3,3,1,5,4,5,4,"3,571"
UfmgSnGer,3,3,1,5,5,5,4,"3,714"
UfmgSnSem,3,3,1,5,3,5,4,"3,429"
UfmgSnRod,3,3,1,5,2,5,4,"3,286"
